Dataset,Config,N_Features,ROC_AUC,PR_AUC,Brier,ECE,Balanced_Threshold,Balanced_Coverage,Balanced_Accuracy,Balanced_Precision,Balanced_Recall,Balanced_F1
imdb,llm_only,1,0.7384,0.9771,0.0368,0.0026,0.5000,1.0000,0.9570,0.9570,1.0000,0.9781
imdb,deberta_only,3,0.8440,0.9895,0.0380,0.0075,0.6190,0.9994,0.9570,0.9570,0.9994,0.9778
imdb,llm_deberta,4,0.8695,0.9909,0.0366,0.0103,0.5455,1.0000,0.9570,0.9570,1.0000,0.9781
imdb,llm_deberta_disagree,7,0.9078,0.9940,0.0346,0.0058,0.5000,0.9939,0.9579,0.9579,0.9948,0.9760
imdb,full,10,0.8936,0.9923,0.0347,0.0063,0.5645,0.9945,0.9574,0.9574,0.9948,0.9757
jigsaw,llm_only,1,0.6497,0.8325,0.1555,0.0206,0.5358,1.0000,0.7763,0.7763,1.0000,0.8741
jigsaw,deberta_only,3,0.6827,0.8558,0.1584,0.0308,0.4650,0.9953,0.7776,0.7776,0.9970,0.8738
jigsaw,llm_deberta,4,0.7778,0.9001,0.1397,0.0157,0.4459,0.9980,0.7769,0.7769,0.9987,0.8739
jigsaw,llm_deberta_disagree,7,0.9753,0.9898,0.0398,0.0015,0.5294,0.7703,0.9732,0.9732,0.9657,0.9694
jigsaw,full,10,0.9741,0.9893,0.0402,0.0032,0.5000,0.7703,0.9732,0.9732,0.9657,0.9694
